Name,Latitude,Longitude,Address
Whole Foods Market,33.7256548,-116.399846,"44-459 Town Center Way, Palm Desert"
Whole Foods Market,33.6963746,-117.8255087,"2847 Park Ave, Tustin"
Whole Foods Market,33.6463123,-117.7443721,"8525 Irvine Center Dr, Irvine"
Whole Foods Market,33.6165418,-117.873653,"415 Newport Center Dr, Newport Beach"
Whole Foods Market,33.543887,-117.7838495,"283 Broadway St, Laguna Beach"
Whole Foods Market,33.5543661,-117.7125745,"23932 Aliso Creek Rd, Laguna Niguel"
Whole Foods Market,33.7312444,-117.9905031,"7881 Edinger Ave Ste 150, Huntington Beach"
Whole Foods Market,34.2402346,-119.1794096,"650 Town Center Dr, Oxnard"
Whole Foods Market,34.4392642,-119.7454396,"3761 State St, Santa Barbara"
Whole Foods Market,35.2507279,-120.6871928,"1531 Froom Ranch Way, San Luis Obispo"
Whole Foods Market,36.8092205,-119.805482,"650 W Shaw Ave, Fresno"
Whole Foods Market,36.5834225,-121.9003622,"800 Del Monte Center, Monterey"
Whole Foods Market,37.72378010000001,-122.4549994,"1150 Ocean Ave, San Francisco"
Whole Foods Market,37.751965,-122.430905,"3950 24th St, San Francisco"
Whole Foods Market,37.5440324,-122.2918823,"1010 Park Pl, San Mateo"
Whole Foods Market,37.7686297,-122.4270793,"2001 Market St, San Francisco"
Whole Foods Market,37.7695599,-122.4528152,"690 Stanyan St, San Francisco"
Whole Foods Market,37.76426500000001,-122.4028099,"450 Rhode Island St, San Francisco"
Whole Foods Market,37.7812218,-122.3999131,"399 4th St, San Francisco"
Whole Foods Market,37.3235774,-122.039895,"20955 Stevens Creek Blvd, Cupertino"
Whole Foods Market,37.3988996,-122.1107271,"4800 El Camino Real, Los Altos"
Whole Foods Market,37.44238929999999,-122.1595673,"774 Emerson St, Palo Alto"
Whole Foods Market,37.4822993,-122.2316749,"1250 Jefferson Ave, Redwood City"
Whole Foods Market,37.380908,-121.9758474,"2732 Augustine Dr #1600, Santa Clara"
Whole Foods Market,37.7900053,-122.4232858,"1765 California St, San Francisco"
Whole Foods Market,37.8128183,-122.2610374,"230 Bay Pl, Oakland"
Whole Foods Market,37.892744,-122.0553226,"1333 Newell Ave, Walnut Creek"
Whole Foods Market,37.8934567,-122.117189,"3502 Mt Diablo Blvd, Lafayette"
Whole Foods Market,37.9259542,-122.0153438,"2941 Ygnacio Valley Rd, Walnut Creek"
Whole Foods Market,37.8808491,-122.2976777,"1025 Gilman St, Berkeley"
Whole Foods Market,37.855484,-122.2604482,"3000 Telegraph Ave, Berkeley"
Whole Foods Market,37.555006,-121.9851925,"3111 Mowry Ave, Fremont"
Whole Foods Market,38.323348,-122.3062945,"3682 Bel Aire Plaza, Napa"
Whole Foods Market,37.7057644,-121.8898424,"5200 Dublin Blvd, Dublin"
Whole Foods Market,37.7617617,-121.9613286,"100 Sunset Dr, San Ramon"
Whole Foods Market,37.9713381,-122.5167745,"340 3rd St, San Rafael"
Whole Foods Market,37.9025946,-122.5260457,"731 E Blithedale Ave, Mill Valley"
Whole Foods Market,37.8960632,-122.5362467,"414 Miller Ave, Mill Valley"
Whole Foods Market,38.1056742,-122.5654623,"790 De Long Ave, Novato"
Whole Foods Market,38.2412358,-122.6346115,"621 E Washington St, Petaluma"
Whole Foods Market,36.9743045,-121.9636124,"1710 41st Ave, Capitola"
Whole Foods Market,37.3321951,-121.9049454,"777 The Alameda, San Jose"
Whole Foods Market,37.2494215,-121.8766598,"1146 Blossom Hill Rd, San Jose"
Whole Foods Market,37.2932275,-121.9303824,"1690 S Bascom Ave, Campbell"
Whole Foods Market,37.236096,-121.9614978,"15980 Los Gatos Blvd, Los Gatos"
Whole Foods Market,36.9789184,-122.014656,"911 Soquel Ave, Santa Cruz"
Whole Foods Market,38.6488511,-121.1179972,"270 Palladio Pkwy, Folsom"
Whole Foods Market,38.4578474,-122.7318129,"390 Coddingtown Mall, Santa Rosa"
Whole Foods Market,38.4423241,-122.6746945,"1181 Yulupa Ave, Santa Rosa"
Whole Foods Market,38.29136099999999,-122.462694,"201 W Napa St, Sonoma"
Whole Foods Market,38.4038098,-122.8241127,"6910 McKinley St, Sebastopol"
Whole Foods Market,38.5966034,-121.3637571,"4315 Arden Way, Sacramento"
Whole Foods Market,38.7673819,-121.2674761,"1001 Galleria Blvd, Roseville"
Whole Foods Market,38.5412179,-121.7403973,"500 1st St, Davis"
