Name,Latitude,Longitude,Address
Walmart,32.804311,-116.968388,"605 Fletcher Pkwy, El Cajon"
Walmart Supercenter,32.7416849,-117.053625,"3412 College Ave, San Diego"
Walmart,32.8423055,-116.9903086,"170 Town Center Pkwy, Santee"
Walmart Neighborhood Market,32.7748664,-117.0075458,"8810 Grossmont Blvd, La Mesa"
Walmart Neighborhood Market,32.797303,-116.936688,"300 N 2nd St, El Cajon"
Walmart,32.805279,-117.1164181,"3382 Murphy Canyon Rd, San Diego"
Walmart Supercenter,33.241084,-117.290951,"705 College Blvd, Oceanside"
Walmart Supercenter,33.069239,-117.266418,"1550 Leucadia Blvd, Encinitas"
Walmart Supercenter,33.1813236,-117.3473247,"2100 Vista Way, Oceanside"
Walmart Supercenter,33.1769977,-117.2978492,"3405 Marron Rd, Oceanside"
Walmart Neighborhood Market,33.1998563,-117.3748545,"1046 Mission Ave, Oceanside"
Walmart Supercenter,32.8226466,-116.9018065,"13487 Camino Canada, El Cajon"
Walmart,32.825159,-116.901747,"13487 Camino Canada, El Cajon"
Walmart,33.1301669,-117.0629305,"1330 E Grand Ave, Escondido"
Walmart,33.135668,-117.1233933,"732 Center Dr, San Marcos"
Walmart Neighborhood Market,33.131985,-117.066412,"1266 E Valley Pkwy, Escondido"
Walmart Supercenter,32.959063,-117.0376552,"13425 Community Rd, Poway"
Walmart Supercenter,33.1725551,-117.2167032,"1800 University Dr, Vista"
Walmart Supercenter,33.703499,-116.2809048,"79295 Us Hwy 111, La Quinta"
Walmart Supercenter,33.7402828,-116.2292449,"82-491 Ave 42, Indio"
Walmart Neighborhood Market,33.6988211,-116.2151384,"83053 Ave 48, Coachella"
Walmart Neighborhood Market,33.7283384,-116.2686703,"44100 Jefferson St ste f, Indio"
Walmart Neighborhood Market,33.7279922,-116.4007092,"72314 CA-111, Palm Desert"
Walmart Supercenter,33.7982318,-116.3846676,"34500 Monterey Ave, Palm Desert"
Walmart Supercenter,33.9245426,-116.9517929,"1540 E 2nd St, Beaumont"
Walmart Supercenter,32.962497,-115.545835,"250 Wildcat Dr, Brawley"
Walmart Supercenter,32.6976319,-115.4965542,"2540 Rockwood Ave, Calexico"
Walmart,32.6212169,-115.5066995,"Blvrd Lázaro Cárdenas 2200, El Porvenir, Mexicali"
Walmart Supercenter,33.81309760000001,-116.4870478,"5601 E Ramon Rd, Palm Springs"
Walmart Supercenter,32.8134355,-115.5773247,"2150 N Waterman Ave, El Centro"
Walmart Supercenter,34.132265,-116.3844893,"58501 Twentynine Palms Highway, Yucca Valley"
Walmart Supercenter,34.5092865,-117.3967775,"12234 Palmdale Rd, Victorville"
Walmart,34.5254883,-117.223148,"20251 CA-18, Apple Valley"
Walmart Supercenter,34.0763425,-117.3736839,"1366 S Riverside Ave, Rialto"
Walmart Supercenter,34.0501673,-117.3063103,"1120 S Mt Vernon Ave, Colton"
Walmart,34.0650883,-117.2228716,"2050 W Redlands Blvd, Redlands"
Walmart Neighborhood Market,34.0471043,-117.2422817,"25755 Barton Rd, Loma Linda"
Walmart,33.9300593,-116.9862625,"599-301 Luis Estrada Rd, Beaumont"
Walmart Neighborhood Market,34.1225974,-117.3742097,"300 W Baseline Rd, Rialto"
Walmart,34.1056024,-117.4280579,"17251 E Foothill Blvd, Fontana"
Walmart,34.0760374,-117.3730284,Rialto
Walmart Supercenter,34.4242736,-117.3699496,"13401 Main St, Hesperia"
Walmart Supercenter,34.4652732,-117.3543795,"11896 Amargosa Rd, Victorville"
Walmart Supercenter,34.1377584,-117.1948884,"4210 E Highland Ave, Highland"
Walmart,34.1653076,-117.3359302,"4001 Hallmark Pkwy, San Bernardino"
Walmart,34.0753693,-117.3725871,Rialto
Walmart Supercenter,33.9370535,-117.4552827,"5200 Van Buren Boulevard, Riverside"
Walmart,33.6621784,-117.2943716,"31700 Grape St, Lake Elsinore"
Walmart Supercenter,33.7265038,-117.009887,"1231 S Sanderson Ave, Hemet"
Walmart Supercenter,33.7679517,-116.9559745,"1861 S San Jacinto Ave, San Jacinto"
Walmart Neighborhood Market,33.7454721,-116.9796752,"859 W Florida Ave, Hemet"
Walmart Supercenter,33.9390701,-117.2854615,"6250 Valley Springs Pkwy, Riverside"
Walmart Supercenter,33.9357708,-117.1819801,"12721 Moreno Beach Dr, Moreno Valley"
Walmart,33.5525976,-117.1927216,"41200 Murrieta Hot Springs Rd, Murrieta"
Walmart Supercenter,33.8060559,-117.2295806,"1800 N Perris Blvd, Perris"
Walmart Supercenter,33.4802497,-117.0944176,"32225 Temecula Pkwy, Temecula"
Walmart Supercenter,33.6987729,-117.8357213,"16555 Von Karman Ave a, Irvine"
Walmart Supercenter,33.737276,-117.915269,"3600 W McFadden Ave, Santa Ana"
Walmart Supercenter,33.6569037,-117.7417723,"71 Technology Dr, Irvine"
Walmart,33.455696,-117.606244,"951 Avenida Pico, San Clemente"
Walmart Neighborhood Market,33.6555223,-117.987088,"21132 Beach Blvd, Huntington Beach"
Walmart,33.7002256,-117.9856023,"8230 Talbert Ave, Huntington Beach"
Walmart,33.5636556,-117.7128743,"27470 Alicia Pkwy, Laguna Niguel"
Walmart Supercenter,33.6796547,-117.6710898,"26502 Towne Centre Dr, Foothill Ranch"
Walmart Neighborhood Market,33.6407417,-117.6014817,"30491 Av. de Las Flores, Rancho Santa Margarita"
Walmart Neighborhood Market,33.819462,-117.9080371,"1120 S Anaheim Blvd, Anaheim"
Walmart,33.81908,-117.90825,Anaheim
Walmart,33.8276822,-117.8382406,"2300 N Tustin St, Orange"
Walmart Supercenter,33.8909649,-117.5173548,"479 N McKinley St, Corona"
Walmart Neighborhood Market,33.8774661,-117.596033,"1560 W 6th St, Corona"
Walmart Supercenter,33.846026,-117.5412279,"1290 E Ontario Ave, Corona"
Walmart,34.2581598,-119.2129482,"1739 S Victoria Ave, Ventura"
Walmart Neighborhood Market,34.2172306,-119.0747003,"275 W Ventura Blvd, Camarillo"
Walmart,34.282089,-118.792155,"255 Cochran St, Simi Valley"
Walmart Supercenter,34.220106,-119.161569,"2001 N Rose Ave, Oxnard"
Walmart,34.174418,-119.179256,"2701 Saviers Rd, Oxnard"
Walmart Neighborhood Market,34.236999,-119.1788492,"421 W Esplanade Dr, Oxnard"
Walmart,34.2797764,-118.7412177,"2801 Cochran St, Simi Valley"
Walmart Neighborhood Market,34.2757123,-118.7078544,"2204 Tapo St, Simi Valley"
Walmart Supercenter,36.3217537,-119.6763726,"250 S 12th Ave, Hanford"
Walmart Supercenter,35.7439829,-119.2480534,"530 Woollomes Ave, Delano"
Walmart,35.7457041,-119.2487943,Delano
Walmart,36.3243029,-119.2730118,"1819 E Noble Ave, Visalia"
Walmart,36.0834095,-119.045311,"1250 W Henderson Ave, Porterville"
Walmart,36.228683,-119.329335,"1110 E Prosperity Ave, Tulare"
Walmart Supercenter,36.2967281,-119.3103558,"3750 S Mooney Blvd, Visalia"
Walmart Neighborhood Market,36.341376,-119.3296846,"1320 N Demaree St, Visalia"
Walmart Supercenter,35.604285,-119.3593408,"401 N Central Ave, Wasco"
Walmart Supercenter,35.3863093,-119.0957058,"8400 Rosedale Hwy, Bakersfield"
Walmart Supercenter,35.3914868,-118.9608468,"2601 Fashion Plaza, Bakersfield"
Walmart Supercenter,35.2980648,-119.029258,"6225 Colony St, Bakersfield"
Walmart Supercenter,35.308699,-119.095468,"5075 Gosford Rd, Bakersfield"
Walmart Neighborhood Market,35.3533865,-118.947581,"5037 E Brundage Ln, Bakersfield"
Walmart Neighborhood Market,35.4345076,-119.0223007,"3111 N Chester Ave, Bakersfield"
Walmart,35.1289517,-120.5977084,"1168 W Branch St, Arroyo Grande"
Walmart Supercenter,34.6630096,-120.4653447,"701 W Central Ave, Lompoc"
Walmart,35.612465,-120.6817125,"180 Niblick Rd, Paso Robles"
Walmart,34.9198793,-120.4191493,"2220 S Bradley Rd, Santa Maria"
Walmart,34.9198327,-120.4190184,"500 S Blosser Rd, Santa Maria"
Walmart Supercenter,34.5567327,-118.0422697,"37140 47th St E, Palmdale"
Walmart Supercenter,34.6116537,-118.1444833,"40130 10th St W, Palmdale"
Walmart Neighborhood Market,34.6141501,-118.2000855,"3875 Rancho Vista Blvd, Palmdale"
Walmart Supercenter,35.6067954,-117.6676178,"201 E Bowman Rd, Ridgecrest"
Walmart Supercenter,36.7930372,-119.7892184,"1804 E Ashlan Ave, Fresno"
Walmart Supercenter,36.811246,-119.7169365,"323 W Shaw Ave, Clovis"
Walmart Supercenter,36.8396896,-119.6957057,"1185 Herndon Ave, Clovis"
Walmart Neighborhood Market,36.778967,-119.756212,"3131 N Cedar Ave, Fresno"
Walmart Neighborhood Market,36.8071353,-119.6806495,"1830 Shaw Ave, Clovis"
Walmart Supercenter,36.5430497,-119.4023479,"770 W El Monte Way, Dinuba"
Walmart Supercenter,36.7327049,-120.0440831,"14061 W Whitesbridge Ave, Kerman"
Walmart Supercenter,36.577321,-119.634423,"3400 Floral Ave, Selma"
Walmart Supercenter,37.0540035,-120.8789774,"1575 W Pacheco Blvd, Los Banos"
Walmart,36.9755397,-120.0806342,"1977 W Cleveland Ave, Madera"
Walmart,36.5437637,-119.4039349,Dinuba
Walmart Supercenter,36.70559,-119.5776667,"2761 Jensen Ave, Sanger"
Walmart Supercenter,36.7382386,-119.7218112,"5125 E Kings Canyon Rd, Fresno"
Walmart Supercenter,36.810371,-119.864165,"4080 W Shaw Ave, Fresno"
Walmart Supercenter,36.7059334,-121.6683587,"1375 N Davis Rd, Salinas"
Walmart Supercenter,36.7178488,-121.6503419,"1800 N Main St, Salinas"
Walmart Supercenter,36.6931162,-121.8011228,"150 Beach Rd, Marina"
Walmart,37.4009978,-122.1095964,"600 Showers Dr, Mountain View"
Walmart Neighborhood Market,37.3900996,-121.9854812,"3255 Mission College Blvd, Santa Clara"
Walmart,37.7147198,-122.1780236,"1919 Davis St, San Leandro"
Walmart Supercenter,38.1830074,-122.2526406,"7011 Main St, American Canyon"
Walmart Neighborhood Market,38.126473,-122.254379,"501 Sereno Dr, Vallejo"
Walmart,38.0090635,-121.8681609,"2203 Loveridge Rd, Pittsburg"
Walmart Supercenter,37.96343299999999,-121.761736,"4893 Lone Tree Way, Antioch"
Walmart,37.996909,-122.10945,"1021 Arnold Dr, Martinez"
Walmart,37.979836,-122.3283911,"1400 Hilltop Mall Rd, Richmond"
Walmart Supercenter,38.2790857,-122.0352753,"2701 N Texas St, Fairfield"
Walmart Supercenter,38.2426341,-121.9900893,"350 Walters Rd, Suisun City"
Walmart,38.2415605,-121.9886237,Suisun City
Walmart,37.5112447,-121.9432361,"44009 Osgood Rd, Fremont"
Walmart,37.5202134,-121.9856995,"40580 Albrae St, Fremont"
Walmart,37.6047604,-122.0674662,"30600 Dyer St, Union City"
Walmart,37.6881841,-122.1314601,"15555 Hesperian Blvd, San Leandro"
Walmart,37.699222,-121.767975,"2700 Las Positas Rd, Livermore"
Walmart Supercenter,38.3090017,-122.2833398,"681 Lincoln Ave, Napa"
Walmart,37.6983216,-121.8872827,"4501 Rosewood Dr, Pleasanton"
Walmart Neighborhood Market,37.729284,-121.92914,"9100 Alcosta Blvd, San Ramon"
Walmart Neighborhood Market,37.6899636,-121.8768404,"3112 Santa Rita Rd, Pleasanton"
Walmart,38.3674474,-122.7164237,"4625 Redwood Dr, Rohnert Park"
Walmart Neighborhood Market,38.3614739,-122.6925691,"901 Golf Course Dr, Rohnert Park"
Walmart Supercenter,37.3310208,-121.8604019,"777 Story Rd, San Jose"
Walmart Supercenter,37.2554401,-121.8801793,"5095 Almaden Expy, San Jose"
Walmart Neighborhood Market,37.291593,-121.9887,"1600 Saratoga Ave #501, San Jose"
Walmart Neighborhood Market,37.3163956,-121.8712158,"1450 Monterey Rd, San Jose"
Walmart,37.2552613,-121.8786755,San Jose
Walmart Supercenter,37.0085037,-121.5510402,"7150 Camino Arroyo, Gilroy"
Walmart Supercenter,38.6687713,-121.1675088,"1018 Riley St, Folsom"
Walmart Supercenter,38.6793714,-121.2225508,"8961 Greenback Ln, Orangevale"
Walmart Neighborhood Market,38.7423202,-121.2249897,"4080 Douglas Blvd, Granite Bay"
Walmart Supercenter,37.4315076,-121.9211191,"301 Ranch Dr, Milpitas"
Walmart Supercenter,37.1493102,-121.6551263,"170 Cochrane Plaza, Morgan Hill"
Walmart Supercenter,38.02349,-121.2736663,"3223 E Hammer Ln, Stockton"
Walmart Neighborhood Market,38.0041572,-121.2924624,"1189 E March Ln, Stockton"
Walmart Supercenter,38.1129122,-121.3100177,"1601 S Lower Sacramento Rd, Lodi"
Walmart,38.1123713,-121.3067391,"Lower Sacramento Rd, Lodi"
Walmart Supercenter,37.3405639,-120.6095784,"800 Commerce Ave, Atwater"
Walmart Supercenter,37.7515271,-121.4720457,"3010 W Grant Line Rd, Tracy"
Walmart,37.6067727,-120.9374003,"1670 Mitchell Rd, Ceres"
Walmart,37.5094922,-120.8730104,"2111 Fulkerth Rd, Turlock"
Walmart Neighborhood Market,37.5156088,-120.8470763,"2480 Geer Rd, Turlock"
Walmart Supercenter,37.7854868,-121.2185814,"1205 S Main St, Manteca"
Walmart,37.31802860000001,-120.5020541,"3055 Loughborough Dr, Merced"
Walmart,37.6732366,-121.0371853,"2225 Plaza Pkwy, Modesto"
Walmart Supercenter,37.6945312,-120.9918749,"3848 McHenry Ave, Modesto"
Walmart Neighborhood Market,37.6645809,-120.9765905,"1421 Coffee Rd, Modesto"
Walmart Supercenter,37.462266,-121.142722,"1030 Sperry Ave, Patterson"
Walmart,38.9315493,-122.6164469,"15960 Dam Rd, Clearlake"
Walmart,39.133714,-123.196981,"1155 Airport Park Blvd, Ukiah"
Walmart,40.7807227,-124.1904169,"3300 Broadway St, Eureka"
Walmart,38.635584,-121.506013,"3661 Truxel Rd, Sacramento"
Walmart Supercenter,38.5872614,-121.5501031,"755 Riverpoint Ct, West Sacramento"
Walmart Supercenter,38.6899733,-121.2950828,"7010 Auburn Blvd, Citrus Heights"
Walmart Supercenter,38.5961282,-121.2918143,"10655 Folsom Blvd, Rancho Cordova"
Walmart Supercenter,38.6499083,-121.3863271,"4675 Watt Ave, North Highlands"
Walmart Neighborhood Market,38.616998,-121.39904,"2700 Marconi Ave, Sacramento"
Walmart Neighborhood Market,38.66257390000001,-121.3248519,"6005 Madison Ave, Carmichael"
Walmart Neighborhood Market,38.6756341,-121.2732736,"6197 Sunrise Blvd, Citrus Heights"
Walmart Supercenter,38.704275,-121.3318333,"5821 Antelope Rd, Sacramento"
Walmart Supercenter,38.7472447,-121.2569035,"1400 Lead Hill Blvd, Roseville"
Walmart,38.7040119,-120.8289639,"4300 Missouri Flat Rd, Placerville"
Walmart,38.411702,-121.3916547,"8465 Elk Grove Blvd, Elk Grove"
Walmart,38.3913416,-121.4162822,"10075 Bruceville Rd, Elk Grove"
Walmart Supercenter,38.4827163,-121.3689577,"8915 Gerber Rd, Sacramento"
Walmart Neighborhood Market,38.410131,-121.3920701,"8455 Elk Grove Blvd, Elk Grove"
Walmart Supercenter,38.7127247,-121.3946674,"7901 Watt Ave, Antelope"
Walmart Supercenter,38.2896902,-121.3047106,"10470 Twin Cities Rd, Galt"
Walmart Supercenter,38.802655,-121.201915,"5454 Crossings Dr, Rocklin"
Walmart Neighborhood Market,38.7838853,-121.2396073,"5609 Pacific St, Rocklin"
Walmart Supercenter,38.78799,-121.2898911,"900 Pleasant Grove Blvd, Roseville"
Walmart,38.3580924,-120.80531,"10355 Wicklow Way, Jackson"
Walmart Supercenter,38.36192,-121.958974,"1501 Helen Power Dr, Vacaville"
Walmart Neighborhood Market,38.3505578,-121.9511468,"2050 Nut Tree Rd, Vacaville"
Walmart Neighborhood Market,38.3446877,-121.9958892,"941 Alamo Dr, Vacaville"
Walmart,38.6755983,-121.7409055,"1720 E Main St, Woodland"
Walmart Neighborhood Market,38.6613755,-121.7637732,"1250 E Gibson Rd, Woodland"
Walmart Supercenter,38.4994421,-121.4336524,"6051 Florin Rd, Sacramento"
Walmart,38.4595432,-121.4931083,"8270 Delta Shores Circle, Sacramento"
Walmart Neighborhood Market,38.4945774,-121.4546109,"4420 Florin Rd, Sacramento"
Walmart,39.723247,-121.8049277,"2044 Forest Ave, Chico"
Walmart Supercenter,39.1272951,-121.5743802,"1131 N Beale Rd, Marysville"
Walmart Supercenter,39.4907011,-121.5713713,"465 Cal Oak Rd, Oroville"
Walmart Supercenter,39.5260717,-122.2175404,"470 N Airport Rd, Willows"
Walmart Supercenter,39.144822,-121.6540098,"1150 Harter Pkwy, Yuba City"
Walmart Supercenter,40.5841812,-122.3433931,"1515 Dana Dr, Redding"
Walmart Supercenter,41.69866349999999,-122.6444783,"1906 Fort Jones Rd, Yreka"
Walmart,41.7354186,-122.6344709,"400-498 N Main St, Yreka"
Walmart,40.4090103,-120.6375199,"2900 Main St, Susanville"
